frequency (Hz),transfer function (arb. units),fit,Crest 1
1.21236,0.9828,1.03271,
1.23613,0.90041,1.0328,
1.2599,0.84103,1.0329,
1.28368,0.81909,1.03299,
1.30745,0.80777,1.03309,
1.33122,0.79726,1.03319,
1.35499,0.79655,1.03329,
1.37876,0.80325,1.03339,
1.40254,0.81554,1.03349,
1.42631,0.83273,1.0336,
1.45008,0.85308,1.0337,
1.47385,0.87531,1.03381,
1.49762,0.89906,1.03392,
1.52139,0.92317,1.03403,
1.54517,0.94764,1.03415,
1.56894,0.97094,1.03426,
1.59271,0.99025,1.03438,
1.61648,1.00695,1.0345,
1.64025,1.02034,1.03462,
1.66403,1.03153,1.03474,
1.6878,1.04092,1.03487,
1.71157,1.04733,1.035,
1.73534,1.05183,1.03512,
1.75911,1.05528,1.03525,
1.78288,1.05837,1.03539,
1.80666,1.06103,1.03552,
1.83043,1.06261,1.03566,
1.8542,1.06345,1.03579,
1.87797,1.06423,1.03593,
1.90174,1.06485,1.03607,
1.92552,1.06558,1.03622,
1.94929,1.06498,1.03636,
1.97306,1.06288,1.03651,
1.99683,1.06022,1.03666,
2.0206,1.05639,1.03681,
2.04437,1.05252,1.03696,
2.06815,1.04845,1.03711,
2.09192,1.04369,1.03727,
2.11569,1.03896,1.03742,
2.13946,1.03441,1.03758,
2.16323,1.03002,1.03774,
2.187,1.02565,1.03791,
2.21078,1.02157,1.03807,
2.23455,1.0173,1.03824,
2.25832,1.01399,1.03841,
2.28209,1.01239,1.03858,
2.30586,1.01043,1.03875,
2.32964,1.00857,1.03892,
2.35341,1.0086,1.0391,
2.37718,1.01084,1.03928,
2.40095,1.01363,1.03946,
2.42472,1.01698,1.03964,
2.44849,1.02104,1.03982,
2.47227,1.02508,1.04001,
2.49604,1.02848,1.04019,
2.51981,1.03113,1.04038,
2.54358,1.03308,1.04057,
2.56735,1.03408,1.04076,
2.59113,1.0346,1.04096,
2.6149,1.03477,1.04115,
2.63867,1.0354,1.04135,
2.66244,1.03634,1.04155,
2.68621,1.03706,1.04175,
2.70998,1.03759,1.04196,
2.73376,1.03815,1.04216,
2.75753,1.03856,1.04237,
2.7813,1.03768,1.04258,
2.80507,1.03552,1.04279,
2.82884,1.03246,1.043,
2.85261,1.02861,1.04322,
2.87639,1.02394,1.04344,
2.90016,1.01927,1.04365,
2.92393,1.01531,1.04387,
2.9477,1.01199,1.0441,
2.97147,1.01031,1.04432,
2.99525,1.01003,1.04455,
3.01902,1.01077,1.04478,
3.04279,1.01246,1.04501,
3.06656,1.01548,1.04524,
3.09033,1.0185,1.04547,
3.1141,1.02086,1.04571,
3.13788,1.02301,1.04595,
3.16165,1.02393,1.04618,
3.18542,1.02357,1.04643,
3.20919,1.02229,1.04667,
3.23296,1.02026,1.04692,
3.25674,1.01765,1.04716,
3.28051,1.01484,1.04741,
3.30428,1.01195,1.04766,
3.32805,1.00882,1.04792,
3.35182,1.00556,1.04817,
3.37559,1.00214,1.04843,
3.39937,0.99841,1.04869,
3.42314,0.99457,1.04895,
3.44691,0.99149,1.04921,
3.47068,0.98887,1.04948,
3.49445,0.98721,1.04974,
3.51823,0.98733,1.05001,
3.542,0.98891,1.05028,
3.56577,0.99236,1.05055,
3.58954,0.99729,1.05083,
3.61331,1.00288,1.0511,
3.63708,1.00873,1.05138,
3.66086,1.01387,1.05166,
3.68463,1.01786,1.05195,
3.7084,1.02038,1.05223,
3.73217,1.02114,1.05252,
3.75594,1.02084,1.05281,
3.77971,1.01943,1.0531,
3.80349,1.01729,1.05339,
3.82726,1.01565,1.05368,
3.85103,1.0143,1.05398,
3.8748,1.01382,1.05428,
3.89857,1.01467,1.05458,
3.92235,1.01651,1.05488,
3.94612,1.01969,1.05518,
3.96989,1.02389,1.05549,
3.99366,1.02856,1.0558,
4.01743,1.03332,1.05611,
4.0412,1.03769,1.05642,
4.06498,1.04131,1.05674,
4.08875,1.04394,1.05705,
4.11252,1.04558,1.05737,
4.13629,1.04641,1.05769,
4.16006,1.04637,1.05801,
4.18384,1.0459,1.05834,
4.20761,1.04557,1.05867,
4.23138,1.04498,1.05899,
4.25515,1.04502,1.05932,
4.27892,1.04597,1.05966,
4.30269,1.04762,1.05999,
4.32647,1.05051,1.06033,
4.35024,1.05421,1.06067,
4.37401,1.05807,1.06101,
4.39778,1.06148,1.06135,
4.42155,1.06388,1.0617,
4.44532,1.06454,1.06205,
4.4691,1.06334,1.0624,
4.49287,1.06048,1.06275,
4.51664,1.05615,1.0631,
4.54041,1.05092,1.06346,
4.56418,1.04529,1.06381,
4.58796,1.03974,1.06417,
4.61173,1.03475,1.06454,
4.6355,1.0307,1.0649,
4.65927,1.02768,1.06527,
4.68304,1.02573,1.06563,
4.70681,1.02484,1.06601,
4.73059,1.02438,1.06638,
4.75436,1.02377,1.06675,
4.77813,1.02285,1.06713,
4.8019,1.02172,1.06751,
4.82567,1.02028,1.06789,
4.84945,1.01892,1.06827,
4.87322,1.01803,1.06866,
4.89699,1.01781,1.06905,
4.92076,1.01848,1.06944,
4.94453,1.02008,1.06983,
4.9683,1.02275,1.07022,
4.99208,1.02645,1.07062,
5.01585,1.03058,1.07102,
5.03962,1.03509,1.07142,
5.06339,1.03986,1.07182,
5.08716,1.04419,1.07223,
5.11094,1.0473,1.07263,
5.13471,1.04924,1.07304,
5.15848,1.05014,1.07346,
5.18225,1.04987,1.07387,
5.20602,1.04873,1.07429,
5.22979,1.04708,1.07471,
5.25357,1.04513,1.07513,
5.27734,1.04327,1.07555,
5.30111,1.04164,1.07597,
5.32488,1.04024,1.0764,
5.34865,1.03914,1.07683,
5.37242,1.03819,1.07726,
5.3962,1.03723,1.0777,
5.41997,1.0365,1.07813,
5.44374,1.0359,1.07857,
5.46751,1.03532,1.07901,
5.49128,1.03476,1.07946,
5.51506,1.0347,1.0799,
5.53883,1.03528,1.08035,
5.5626,1.03647,1.0808,
5.58637,1.0386,1.08125,
5.61014,1.04163,1.08171,
5.63391,1.04541,1.08216,
5.65769,1.0499,1.08262,
5.68146,1.05445,1.08309,
5.70523,1.05845,1.08355,
5.729,1.06158,1.08402,
5.75277,1.06346,1.08448,
5.77655,1.06407,1.08496,
5.80032,1.06366,1.08543,
5.82409,1.06236,1.08591,
5.84786,1.06043,1.08638,
5.87163,1.0582,1.08686,
5.8954,1.05578,1.08735,
5.91918,1.05333,1.08783,
5.94295,1.05094,1.08832,
5.96672,1.0484,1.08881,
5.99049,1.04597,1.0893,
6.01426,1.04371,1.0898,
6.03803,1.0416,1.09029,
6.06181,1.0394,1.09079,
6.08558,1.03729,1.0913,
6.10935,1.03551,1.0918,
6.13312,1.03416,1.09231,
