time(s),displacement (mm),"Crest 9, 50 cm, trial 4",time(s),fitted curve
0,30.22087,,0,179.02686
0.00417,30.7569,,1.67E-04,179.11814
0.00833,30.87037,,3.34E-04,179.2093
0.0125,30.96884,,5.01E-04,179.30026
0.01667,30.78539,,6.67E-04,179.39099
0.02083,30.46052,,8.34E-04,179.48142
0.025,30.13593,,0.001,179.5715
0.02917,30.0086,,0.00117,179.66117
0.03333,30.02306,,0.00133,179.75039
0.0375,30.13367,,0.0015,179.8391
0.04167,30.40109,,0.00167,179.92725
0.04583,30.48857,,0.00184,180.01478
0.05,30.6582,,0.002,180.10165
0.05417,30.71487,,0.00217,180.18781
0.05833,30.65797,,0.00234,180.2732
0.0625,30.4744,,0.0025,180.35778
0.06667,30.41797,,0.00267,180.4415
0.07083,30.22012,,0.00284,180.52431
0.075,30.21997,,0.003,180.60616
0.07917,30.19158,,0.00317,180.68701
0.08333,30.33339,,0.00334,180.76682
0.0875,30.43221,,0.0035,180.84553
0.09167,30.55924,,0.00367,180.92311
0.09583,30.62998,,0.00384,180.99951
0.1,30.60164,,0.004,181.07469
0.10417,30.53099,,0.00417,181.14861
0.10833,30.46052,,0.00434,181.22123
0.1125,30.30515,,0.0045,181.29251
0.11667,30.24881,,0.00467,181.36242
0.12083,30.3054,,0.00484,181.43091
0.125,30.36168,,0.00501,181.49795
0.12917,30.44636,,0.00517,181.56351
0.13333,30.54525,,0.00534,181.62754
0.1375,30.57322,,0.00551,181.69003
0.14167,30.55903,,0.00567,181.75093
0.14583,30.51512,,0.00584,181.81022
0.15,30.40404,,0.00601,181.86787
0.15417,30.34765,,0.00617,181.92384
0.15833,30.34765,,0.00634,181.97812
0.1625,30.41827,,0.00651,182.03067
0.16667,30.44647,,0.00667,182.08147
,,,0.00684,182.1305
,,,0.00701,182.17774
,,,0.00717,182.22315
,,,0.00734,182.26673
,,,0.00751,182.30845
,,,0.00767,182.3483
,,,0.00784,182.38626
,,,0.00801,182.42231
,,,0.00817,182.45645
,,,0.00834,182.48865
,,,0.00851,182.5189
,,,0.00868,182.54721
,,,0.00884,182.57355
,,,0.00901,182.59791
,,,0.00918,182.62031
,,,0.00934,182.64071
,,,0.00951,182.65913
,,,0.00968,182.67556
,,,0.00984,182.69
,,,0.01001,182.70245
,,,0.01018,182.7129
,,,0.01034,182.72137
,,,0.01051,182.72784
,,,0.01068,182.73234
,,,0.01084,182.73486
,,,0.01101,182.73541
,,,0.01118,182.734
,,,0.01134,182.73064
,,,0.01151,182.72533
,,,0.01168,182.71809
,,,0.01185,182.70894
,,,0.01201,182.69788
,,,0.01218,182.68493
,,,0.01235,182.67011
,,,0.01251,182.65343
,,,0.01268,182.63491
,,,0.01285,182.61457
,,,0.01301,182.59243
,,,0.01318,182.56852
,,,0.01335,182.54284
,,,0.01351,182.51544
,,,0.01368,182.48632
,,,0.01385,182.45552
,,,0.01401,182.42306
,,,0.01418,182.38897
,,,0.01435,182.35328
,,,0.01451,182.31601
,,,0.01468,182.27719
,,,0.01485,182.23686
,,,0.01502,182.19505
,,,0.01518,182.15178
,,,0.01535,182.10709
,,,0.01552,182.06101
,,,0.01568,182.01358
,,,0.01585,181.96484
,,,0.01602,181.91481
,,,0.01618,181.86353
,,,0.01635,181.81105
,,,0.01652,181.75739
,,,0.01668,181.70259
,,,0.01685,181.6467
,,,0.01702,181.58975
,,,0.01718,181.53178
,,,0.01735,181.47283
,,,0.01752,181.41295
,,,0.01768,181.35216
,,,0.01785,181.29052
,,,0.01802,181.22806
,,,0.01818,181.16483
,,,0.01835,181.10086
,,,0.01852,181.0362
,,,0.01869,180.9709
,,,0.01885,180.90499
,,,0.01902,180.83852
,,,0.01919,180.77153
,,,0.01935,180.70406
,,,0.01952,180.63616
,,,0.01969,180.56787
,,,0.01985,180.49923
,,,0.02002,180.43029
,,,0.02019,180.36109
,,,0.02035,180.29168
,,,0.02052,180.22209
,,,0.02069,180.15237
,,,0.02085,180.08257
,,,0.02102,180.01272
,,,0.02119,179.94288
,,,0.02135,179.87308
,,,0.02152,179.80336
,,,0.02169,179.73377
,,,0.02186,179.66434
,,,0.02202,179.59513
,,,0.02219,179.52617
,,,0.02236,179.45751
,,,0.02252,179.38918
,,,0.02269,179.32122
,,,0.02286,179.25368
,,,0.02302,179.18659
,,,0.02319,179.12
,,,0.02336,179.05394
,,,0.02352,178.98845
,,,0.02369,178.92357
,,,0.02386,178.85933
,,,0.02402,178.79577
,,,0.02419,178.73293
,,,0.02436,178.67084
,,,0.02452,178.60955
,,,0.02469,178.54907
,,,0.02486,178.48945
,,,0.02503,178.43071
,,,0.02519,178.3729
,,,0.02536,178.31604
,,,0.02553,178.26016
,,,0.02569,178.2053
,,,0.02586,178.15147
,,,0.02603,178.09872
,,,0.02619,178.04707
,,,0.02636,177.99654
,,,0.02653,177.94716
,,,0.02669,177.89896
,,,0.02686,177.85196
,,,0.02703,177.80618
,,,0.02719,177.76166
,,,0.02736,177.7184
,,,0.02753,177.67643
,,,0.02769,177.63578
,,,0.02786,177.59645
,,,0.02803,177.55848
,,,0.02819,177.52187
,,,0.02836,177.48664
,,,0.02853,177.45282
,,,0.0287,177.4204
,,,0.02886,177.38942
,,,0.02903,177.35987
,,,0.0292,177.33178
,,,0.02936,177.30515
,,,0.02953,177.27999
,,,0.0297,177.25632
,,,0.02986,177.23413
,,,0.03003,177.21345
,,,0.0302,177.19427
,,,0.03036,177.1766
,,,0.03053,177.16045
,,,0.0307,177.14581
,,,0.03086,177.13269
,,,0.03103,177.1211
,,,0.0312,177.11103
,,,0.03136,177.10248
,,,0.03153,177.09545
,,,0.0317,177.08994
,,,0.03187,177.08595
,,,0.03203,177.08347
,,,0.0322,177.0825
,,,0.03237,177.08303
,,,0.03253,177.08505
,,,0.0327,177.08857
,,,0.03287,177.09356
,,,0.03303,177.10002
,,,0.0332,177.10794
,,,0.03337,177.11731
,,,0.03353,177.12812
,,,0.0337,177.14035
,,,0.03387,177.15399
,,,0.03403,177.16903
,,,0.0342,177.18545
,,,0.03437,177.20323
,,,0.03453,177.22237
,,,0.0347,177.24283
,,,0.03487,177.26461
,,,0.03504,177.28769
,,,0.0352,177.31204
,,,0.03537,177.33764
,,,0.03554,177.36448
,,,0.0357,177.39253
,,,0.03587,177.42177
,,,0.03604,177.45217
,,,0.0362,177.48372
,,,0.03637,177.51639
,,,0.03654,177.55016
,,,0.0367,177.58499
,,,0.03687,177.62087
,,,0.03704,177.65777
,,,0.0372,177.69565
,,,0.03737,177.7345
,,,0.03754,177.77428
,,,0.0377,177.81498
,,,0.03787,177.85655
,,,0.03804,177.89896
,,,0.0382,177.9422
,,,0.03837,177.98623
,,,0.03854,178.03102
,,,0.03871,178.07654
,,,0.03887,178.12275
,,,0.03904,178.16964
,,,0.03921,178.21715
,,,0.03937,178.26527
,,,0.03954,178.31397
,,,0.03971,178.3632
,,,0.03987,178.41294
,,,0.04004,178.46316
,,,0.04021,178.51381
,,,0.04037,178.56488
,,,0.04054,178.61632
,,,0.04071,178.6681
,,,0.04087,178.7202
,,,0.04104,178.77257
,,,0.04121,178.82519
,,,0.04137,178.87801
,,,0.04154,178.93102
,,,0.04171,178.98416
,,,0.04188,179.03742
,,,0.04204,179.09076
,,,0.04221,179.14414
,,,0.04238,179.19753
,,,0.04254,179.2509
,,,0.04271,179.30422
,,,0.04288,179.35746
,,,0.04304,179.41057
,,,0.04321,179.46354
,,,0.04338,179.51633
,,,0.04354,179.5689
,,,0.04371,179.62123
,,,0.04388,179.67328
,,,0.04404,179.72503
,,,0.04421,179.77644
,,,0.04438,179.82748
,,,0.04454,179.87813
,,,0.04471,179.92836
,,,0.04488,179.97813
,,,0.04505,180.02741
,,,0.04521,180.07619
,,,0.04538,180.12443
,,,0.04555,180.1721
,,,0.04571,180.21918
,,,0.04588,180.26564
,,,0.04605,180.31145
,,,0.04621,180.3566
,,,0.04638,180.40105
,,,0.04655,180.44479
,,,0.04671,180.48778
,,,0.04688,180.53
,,,0.04705,180.57144
,,,0.04721,180.61206
,,,0.04738,180.65186
,,,0.04755,180.6908
,,,0.04771,180.72887
,,,0.04788,180.76604
,,,0.04805,180.80231
,,,0.04821,180.83764
,,,0.04838,180.87203
,,,0.04855,180.90545
,,,0.04872,180.9379
,,,0.04888,180.96934
,,,0.04905,180.99977
,,,0.04922,181.02918
,,,0.04938,181.05755
,,,0.04955,181.08486
,,,0.04972,181.11112
,,,0.04988,181.13629
,,,0.05005,181.16038
,,,0.05022,181.18336
,,,0.05038,181.20525
,,,0.05055,181.22601
,,,0.05072,181.24566
,,,0.05088,181.26417
,,,0.05105,181.28154
,,,0.05122,181.29777
,,,0.05138,181.31286
,,,0.05155,181.32679
,,,0.05172,181.33956
,,,0.05189,181.35117
,,,0.05205,181.36163
,,,0.05222,181.37091
,,,0.05239,181.37904
,,,0.05255,181.386
,,,0.05272,181.3918
,,,0.05289,181.39643
,,,0.05305,181.39991
,,,0.05322,181.40223
,,,0.05339,181.40339
,,,0.05355,181.40341
,,,0.05372,181.40228
,,,0.05389,181.40001
,,,0.05405,181.39661
,,,0.05422,181.39208
,,,0.05439,181.38643
,,,0.05455,181.37967
,,,0.05472,181.37182
,,,0.05489,181.36286
,,,0.05506,181.35283
,,,0.05522,181.34173
,,,0.05539,181.32956
,,,0.05556,181.31635
,,,0.05572,181.3021
,,,0.05589,181.28682
,,,0.05606,181.27054
,,,0.05622,181.25327
,,,0.05639,181.23501
,,,0.05656,181.21579
,,,0.05672,181.19562
,,,0.05689,181.17451
,,,0.05706,181.1525
,,,0.05722,181.12958
,,,0.05739,181.10578
,,,0.05756,181.08112
,,,0.05772,181.05561
,,,0.05789,181.02928
,,,0.05806,181.00215
,,,0.05822,180.97423
,,,0.05839,180.94555
,,,0.05856,180.91612
,,,0.05873,180.88597
,,,0.05889,180.85511
,,,0.05906,180.82358
,,,0.05923,180.79139
,,,0.05939,180.75857
,,,0.05956,180.72513
,,,0.05973,180.69111
,,,0.05989,180.65652
,,,0.06006,180.62138
,,,0.06023,180.58573
,,,0.06039,180.54958
,,,0.06056,180.51297
,,,0.06073,180.4759
,,,0.06089,180.43842
,,,0.06106,180.40054
,,,0.06123,180.36228
,,,0.06139,180.32368
,,,0.06156,180.28476
,,,0.06173,180.24554
,,,0.0619,180.20605
,,,0.06206,180.16631
,,,0.06223,180.12636
,,,0.0624,180.0862
,,,0.06256,180.04588
,,,0.06273,180.00541
,,,0.0629,179.96482
,,,0.06306,179.92414
,,,0.06323,179.88339
,,,0.0634,179.8426
,,,0.06356,179.80178
,,,0.06373,179.76098
,,,0.0639,179.7202
,,,0.06406,179.67949
,,,0.06423,179.63885
,,,0.0644,179.59832
,,,0.06456,179.55791
,,,0.06473,179.51767
,,,0.0649,179.4776
,,,0.06507,179.43773
,,,0.06523,179.39808
,,,0.0654,179.35869
,,,0.06557,179.31957
,,,0.06573,179.28074
,,,0.0659,179.24223
,,,0.06607,179.20405
,,,0.06623,179.16624
,,,0.0664,179.12881
,,,0.06657,179.09179
,,,0.06673,179.05519
,,,0.0669,179.01903
,,,0.06707,178.98334
,,,0.06723,178.94814
,,,0.0674,178.91344
,,,0.06757,178.87926
,,,0.06773,178.84563
