crest_number,width,height,angle,rachis_length,top_area,alignment,color,nfeathers,percent_unalign,percent_short
1,7.6,5.3,84,4.4,6.9,strong,blue,29,22,0
2,6.8,5.7,60,4.4,8.6,strong,blue,31,50,0
3,5.8,5.1,71,4.2,8.6,weak,blue,NA,8.333333333,0
4,4.9,4.8,,4.2,6.1,strong,blue,29,0,0
5,6.2,5.4,65,5.3,8.1,weak,blue,31,0,0
6,4.6,5.9,,4.3,5.6,strong,blue,28,0,0
7,5,6.5,40,4.8,6.5,strong,green,27,0,9.090909091
8,7.5,5.8,70,4.6,8.8,weak,green,27,7,0
9,7,5.5,66,5.5,9.2,strong,blue,21,0,0
10,5.8,4.9,68,4.3,6.8,strong,green,29,10.8,10.71428571
11,6.5,5.4,65,4.2,4.3,weak,green,20,10.5,5.263157895
12,5.4,4.5,50,4.4,6.1,strong,green,23,0,8.695652174
13,4.9,5.1,51,4.1,4.4,strong,green,25,0,0
14,5,5.5,50,4.4,5.6,strong,green,21,8.3,16.66666667
15,3.5,4.4,,4.3,4.2,strong,green,22,0,5.263157895
