feather_ID,f_res,del_f,orient,whole_single,sex,rachis_l,f_lower,f_upper,del_lower,del_upper
Crest_10_Feather-1_1,28.14,5.841,standard,singl,female,4.8,,,,
Crest_10_Feather-1_2,28.11,5.57,standard,singl,female,4.8,,,,
Crest_10_Feather-1_3,28.15,5.611,standard,singl,female,4.8,,,,
Crest_10_Feather-2_1,26.41,6.194,standard,singl,female,4.9,,,,
Crest_10_Feather-2_2,26.08,5.193,standard,singl,female,4.9,,,,
Crest_10_Feather-2_3,26.09,5.344,standard,singl,female,4.9,,,,
Crest_10_Feather-3_1,22.08,2.64,standard,singl,female,4.6,,,,
Crest_10_Feather-3_2,22.11,2.572,standard,singl,female,4.6,,,,
Crest_10_Feather-3_3,22.07,2.547,standard,singl,female,4.6,,,,
Crest_3_Feather-1_1,29.05,6.172,standard,singl,male,4.4,,,,
Crest_3_Feather-1_2,29.15,6.299,standard,singl,male,4.4,,,,
Crest_3_Feather-1_3,29.03,6.464,standard,singl,male,4.4,,,,
Crest_3_Feather-2_1,32.36,7.677,standard,singl,male,4.4,,,,
Crest_3_Feather-2_2,32.09,8.092,standard,singl,male,4.4,,,,
Crest_3_Feather-2_3,32.32,7.58,standard,singl,male,4.4,,,,
Crest_3_Feather-3_1,22.42,2.05,standard,singl,male,4.3,,,,
Crest_3_Feather-3_2,22.57,1.804,standard,singl,male,4.3,,,,
Crest_3_Feather-3_3,22.5,1.899,standard,singl,male,4.3,,,,
Crest_5_Feather-1_1,29.97,5.886,standard,singl,male,4.4,,,,
Crest_5_Feather-1_2,30.56,5.379,standard,singl,male,4.4,,,,
Crest_5_Feather-1_3,30.63,5.859,standard,singl,male,4.4,,,,
Crest_5_Feather-2_1,24.07,1.961,standard,singl,male,4.4,,,,
Crest_5_Feather-2_2,23.86,2.383,standard,singl,male,4.4,,,,
Crest_5_Feather-2_3,23.89,2.256,standard,singl,male,4.4,,,,
Crest_5_Feather-3_1,19.24,3.277,standard,singl,male,4.4,,,,
Crest_5_Feather-3_2,19.24,1.258,standard,singl,male,4.4,,,,
Crest_5_Feather-3_3,19.25,3.373,standard,singl,male,4.4,,,,
Crest_5_Feather-4_1,26.88,6.313,standard,singl,male,4.3,,,,
Crest_5_Feather-4_2,27.22,6.055,standard,singl,male,4.3,,,,
Crest_5_Feather-4_3,26.97,5.374,standard,singl,male,4.3,,,,
