crestID,sex,k_Nmm,SE,rachis_length_cm,number_feathers,area_cm2
1,M,0.00567,1.30E-04,4.4,27,6.9
6,M,0.00362,1.10E-04,4.3,28,5.6
8,F,0.00221,3.80E-05,4.6,27,8.8
9,M,0.00354,5.10E-05,5.5,20,9.2
12,F,0.0018,4.80E-05,4.4,22,6.1
13,F,0.0015,5.00E-05,4.1,23,4.4
1,M,0.00377,2.50E-04,4.4,27,6.9
6,M,0.00329,2.70E-04,4.3,28,5.6
8,F,0.00216,5.40E-05,4.6,27,8.8
9,M,0.00218,7.50E-05,5.5,20,9.2
12,F,0.0024,5.80E-05,4.4,22,6.1
13,F,0.0019,2.40E-05,4.1,23,4.4
1,M,0.0067,3.50E-04,4.4,27,6.9
6,M,0.00527,3.60E-04,4.3,28,5.6
8,F,0.00212,9.80E-05,4.6,27,8.8
9,M,0.00198,9.30E-05,5.5,20,9.2
12,F,0.00255,1.40E-04,4.4,22,6.1
13,F,0.00305,2.30E-04,4.1,23,4.4
