crestID,trial_number,sex,number_feathers,color,displacement_flag_mm,force_N
1,1,M,27,blue,0,1.00E-03
1,1,M,27,blue,0.5,1.00E-03
1,1,M,27,blue,1,0.001
1,1,M,27,blue,1.5,0.001
1,1,M,27,blue,2,0.001
1,1,M,27,blue,2.5,0.001
1,1,M,27,blue,3,0
1,1,M,27,blue,3.5,0.002
1,1,M,27,blue,4,0.002
1,1,M,27,blue,4.5,0.004
1,1,M,27,blue,5,0.006
1,1,M,27,blue,5.5,0.007
1,1,M,27,blue,6,0.01
1,1,M,27,blue,6.5,0.012
1,1,M,27,blue,7,0.016
1,1,M,27,blue,7.5,0.019
1,1,M,27,blue,8,0.023
1,1,M,27,blue,8.5,0.027
1,1,M,27,blue,9,0.03
1,1,M,27,blue,9.5,0.032
1,1,M,27,blue,10,0.036
1,1,M,27,blue,10.5,0.04
1,1,M,27,blue,11,0.043
1,1,M,27,blue,11.5,0.045
1,1,M,27,blue,12,0.049
1,1,M,27,blue,12.5,0.051
1,1,M,27,blue,13,0.053
1,1,M,27,blue,13.5,0.054
1,1,M,27,blue,14,0.056
1,1,M,27,blue,14.5,0.056
1,1,M,27,blue,15,0.055
1,2,M,27,blue,2,0.001
1,2,M,27,blue,4,0.008
1,2,M,27,blue,6,0.018
1,2,M,27,blue,8,0.027
1,2,M,27,blue,10,0.033
1,2,M,27,blue,12,0.037
1,3,M,27,blue,2,0.003
1,3,M,27,blue,3,0.005
1,3,M,27,blue,4,0.017
1,3,M,27,blue,5,0.022
1,3,M,27,blue,6,0.032
1,3,M,27,blue,7,0.037
1,3,M,27,blue,8,0.046
1,3,M,27,blue,9,0.048
1,3,M,27,blue,10,0.053
1,3,M,27,blue,12,0.058
1,3,M,27,blue,14,0.053
6,1,M,28,blue,0,0.00E+00
6,1,M,28,blue,0.5,0.00E+00
6,1,M,28,blue,1,0
6,1,M,28,blue,1.5,0
6,1,M,28,blue,2,0
6,1,M,28,blue,2.5,0
6,1,M,28,blue,3,0
6,1,M,28,blue,3.5,0.001
6,1,M,28,blue,4,0.001
6,1,M,28,blue,4.5,0.002
6,1,M,28,blue,5,0.003
6,1,M,28,blue,5.5,0.004
6,1,M,28,blue,6,0.005
6,1,M,28,blue,6.5,0.005
6,1,M,28,blue,7,0.006
6,1,M,28,blue,7.5,0.008
6,1,M,28,blue,8,0.01
6,1,M,28,blue,8.5,0.012
6,1,M,28,blue,9,0.014
6,1,M,28,blue,9.5,0.015
6,1,M,28,blue,10,0.017
6,1,M,28,blue,10.5,0.02
6,1,M,28,blue,11,0.022
6,1,M,28,blue,11.5,0.024
6,1,M,28,blue,12,0.027
6,1,M,28,blue,12.5,0.03
6,1,M,28,blue,13,0.031
6,1,M,28,blue,13.5,0.033
6,1,M,28,blue,14,0.035
6,1,M,28,blue,14.5,0.037
6,1,M,28,blue,15,0.038
6,2,M,28,blue,3,0.002
6,2,M,28,blue,5,0.009
6,2,M,28,blue,7,0.019
6,2,M,28,blue,9,0.027
6,2,M,28,blue,11,0.033
6,2,M,28,blue,13,0.037
6,2,M,28,blue,15,0.04
6,3,M,28,blue,2,0.002
6,3,M,28,blue,4,0.015
6,3,M,28,blue,6,0.027
6,3,M,28,blue,8,0.041
6,3,M,28,blue,10,0.051
6,3,M,28,blue,12,0.059
6,3,M,28,blue,14,0.063
8,1,F,27,green,0,0
8,1,F,27,green,0.5,0
8,1,F,27,green,1,0
8,1,F,27,green,1.5,0
8,1,F,27,green,2,0
8,1,F,27,green,2.5,0
8,1,F,27,green,3,0
8,1,F,27,green,3.5,0
8,1,F,27,green,4,0
8,1,F,27,green,4.5,0.001
8,1,F,27,green,5,0.002
8,1,F,27,green,5.5,0.003
8,1,F,27,green,6,0.004
8,1,F,27,green,6.5,0.005
8,1,F,27,green,7,0.006
8,1,F,27,green,7.5,0.007
8,1,F,27,green,8,0.008
8,1,F,27,green,8.5,0.01
8,1,F,27,green,9,0.011
8,1,F,27,green,9.5,0.012
8,1,F,27,green,10,0.013
8,1,F,27,green,10.5,0.015
8,1,F,27,green,11,0.015
8,1,F,27,green,11.5,0.017
8,1,F,27,green,12,0.017
8,1,F,27,green,12.5,0.019
8,1,F,27,green,13,0.019
8,1,F,27,green,13.5,0.02
8,1,F,27,green,14,0.02
8,1,F,27,green,14.5,0.02
8,1,F,27,green,15,0.02
8,1,F,27,green,15.5,0.02
8,1,F,27,green,16,0.021
8,1,F,27,green,16.5,0.02
8,2,F,27,green,0,1.00E-03
8,2,F,27,green,1,0.003
8,2,F,27,green,2,0.005
8,2,F,27,green,3,0.007
8,2,F,27,green,4,0.01
8,2,F,27,green,5,0.012
8,2,F,27,green,6,0.015
8,2,F,27,green,7,0.016
8,2,F,27,green,8,0.018
8,2,F,27,green,9,0.02
8,2,F,27,green,10,0.02
8,2,F,27,green,12,0.019
8,3,F,27,green,2,0.002
8,3,F,27,green,3,0.003
8,3,F,27,green,4,0.006
8,3,F,27,green,5,0.007
8,3,F,27,green,6,0.011
8,3,F,27,green,7,0.013
8,3,F,27,green,8,0.015
8,3,F,27,green,9,0.016
8,3,F,27,green,10,0.018
8,3,F,27,green,11,0.018
