file,id,type,date,displaydateDOY,hour,minute,timeH,temperatureC,DewpointC +/- 0.2,relative humidity (%),boutID,sample,freq,eyespots,rectrixL,trainL,traindate,displaydate,traindateDOY
GOPR1446,female1/lawn,female,3/15/15,NA,8,35,8.583333333,23.3,4.2,28.9,female1/lawn_GOPR1446,peak,25.24,NA,NA,NA,NA,NA,NA
GOPR1446,female1/lawn,female,3/15/15,NA,8,35,8.583333333,23.3,4.2,28.9,female1/lawn_GOPR1446,post,NA,NA,NA,NA,NA,NA,NA
GOPR1446,female1/lawn,female,3/15/15,NA,8,35,8.583333333,23.3,4.2,28.9,female1/lawn_GOPR1446,pre,NA,NA,NA,NA,NA,NA,NA
GOPR0210,female3/fountain,female,03-11-15,NA,15,28,15.46666667,21.1,8,42.9,female3/fountain_GOPR0210,peak,25.51,NA,NA,NA,NA,NA,NA
GOPR0210,female3/fountain,female,03-11-15,NA,15,28,15.46666667,21.1,8,42.9,female3/fountain_GOPR0210,post,25.78064516,NA,NA,NA,NA,NA,NA
GOPR0210,female3/fountain,female,03-11-15,NA,15,28,15.46666667,21.1,8,42.9,female3/fountain_GOPR0210,pre,25.78064516,NA,NA,NA,NA,NA,NA
GOPR0213,female3/fountain,female,03-11-15,NA,15,31,15.51666667,21.1,8,42.9,female3/fountain_GOPR0213,peak,26.64,NA,NA,NA,NA,NA,NA
GOPR0213,female3/fountain,female,03-11-15,NA,15,31,15.51666667,21.1,8,42.9,female3/fountain_GOPR0213,post,27.55862069,NA,NA,NA,NA,NA,NA
GOPR0213,female3/fountain,female,03-11-15,NA,15,31,15.51666667,21.1,8,42.9,female3/fountain_GOPR0213,pre,26.93932584,NA,NA,NA,NA,NA,NA
GOPR0036,female4/BBQ,female,03-10-15,NA,16,5,16.08333333,25,1.6,21.7,female4/BBQ_GOPR0036,peak,26.35,NA,NA,NA,NA,NA,NA
GOPR0036,female4/BBQ,female,03-10-15,NA,16,5,16.08333333,25,1.6,21.7,female4/BBQ_GOPR0036,post,26.34725275,NA,NA,NA,NA,NA,NA
GOPR0036,female4/BBQ,female,03-10-15,NA,16,5,16.08333333,25,1.6,21.7,female4/BBQ_GOPR0036,pre,28.54285714,NA,NA,NA,NA,NA,NA
GOPR0037,female4/BBQ,female,03-10-15,NA,16,6,16.1,25,1.6,21.7,female4/BBQ_GOPR0037,peak,25.24,NA,NA,NA,NA,NA,NA
GOPR0037,female4/BBQ,female,03-10-15,NA,16,6,16.1,25,1.6,21.7,female4/BBQ_GOPR0037,post,25.23789474,NA,NA,NA,NA,NA,NA
GOPR0037,female4/BBQ,female,03-10-15,NA,16,6,16.1,25,1.6,21.7,female4/BBQ_GOPR0037,pre,NA,NA,NA,NA,NA,NA,NA
GOPR0057,femaleXX/fountain,female,03-10-15,NA,17,12,17.2,22.2,2,26.4,femaleXX/fountain_GOPR0057,peak,27.56,NA,NA,NA,NA,NA,NA
GOPR0057,femaleXX/fountain,female,03-10-15,NA,17,12,17.2,22.2,2,26.4,femaleXX/fountain_GOPR0057,post,27.55862069,NA,NA,NA,NA,NA,NA
GOPR0057,femaleXX/fountain,female,03-10-15,NA,17,12,17.2,22.2,2,26.4,femaleXX/fountain_GOPR0057,pre,28.20705882,NA,NA,NA,NA,NA,NA
