frequency,FFTpower
0.18984,1.31E-07
0.23729,3.04E-07
0.28475,1.92E-07
0.33221,5.51E-08
0.37967,1.04E-07
0.42713,6.00E-07
0.47459,3.33E-07
0.52205,6.73E-08
0.56951,2.75E-07
0.61697,2.09E-07
0.66443,2.68E-07
0.71188,3.35E-07
0.75934,2.81E-07
0.8068,3.38E-07
0.85426,3.97E-07
0.90172,5.40E-07
0.94918,3.93E-07
0.99664,1.69E-07
1.0441,2.77E-07
1.09156,3.47E-07
1.13902,2.80E-07
1.18647,3.61E-07
1.23393,3.93E-07
1.28139,2.44E-07
1.32885,4.03E-07
1.37631,2.26E-07
1.42377,3.97E-07
1.47123,2.63E-07
1.51869,2.69E-07
1.56615,3.29E-07
1.6136,1.80E-07
1.66106,2.90E-07
1.70852,3.23E-07
1.75598,2.50E-07
1.80344,2.64E-07
1.8509,3.13E-07
1.89836,1.99E-07
1.94582,2.45E-07
1.99328,2.19E-07
2.04074,2.00E-07
2.08819,1.92E-07
2.13565,2.39E-07
2.18311,1.61E-07
2.23057,2.48E-07
2.27803,3.12E-07
2.32549,1.84E-07
2.37295,1.89E-07
2.42041,3.15E-07
2.46787,2.55E-07
2.51533,2.50E-07
2.56278,2.02E-07
2.61024,2.55E-07
2.6577,1.78E-07
2.70516,2.63E-07
2.75262,3.13E-07
2.80008,2.18E-07
2.84754,1.78E-07
2.895,2.68E-07
2.94246,2.37E-07
2.98991,1.21E-07
3.03737,2.26E-07
3.08483,1.63E-07
3.13229,1.42E-07
3.17975,1.80E-07
3.22721,6.93E-08
3.27467,2.14E-07
3.32213,1.03E-07
3.36959,1.62E-07
3.41705,1.89E-07
3.4645,1.96E-07
3.51196,1.48E-07
3.55942,9.05E-08
3.60688,1.71E-07
3.65434,1.55E-07
3.7018,1.17E-07
3.74926,1.44E-07
3.79672,1.08E-07
3.84418,1.21E-07
3.89164,1.26E-07
3.93909,1.05E-07
3.98655,1.18E-07
4.03401,1.88E-07
4.08147,1.66E-07
4.12893,8.73E-08
4.17639,7.55E-08
4.22385,1.50E-07
4.27131,1.27E-07
4.31877,1.34E-07
4.36623,7.73E-08
4.41368,1.21E-07
4.46114,1.20E-07
4.5086,8.77E-08
4.55606,1.06E-07
4.60352,1.83E-07
4.65098,1.57E-07
4.69844,1.15E-07
4.7459,1.17E-07
4.79336,1.32E-07
4.84081,1.01E-07
4.88827,1.09E-07
4.93573,3.45E-07
4.98319,2.44E-07
5.03065,2.60E-07
5.07811,3.46E-07
5.12557,1.67E-06
5.17303,8.96E-07
5.22049,2.68E-07
5.26795,1.34E-07
5.3154,9.03E-08
5.36286,1.23E-07
5.41032,7.53E-08
5.45778,5.29E-08
5.50524,1.85E-07
5.5527,3.24E-08
5.60016,6.05E-08
5.64762,5.83E-08
5.69508,1.03E-07
5.74254,3.12E-08
5.78999,7.29E-08
5.83745,3.64E-08
5.88491,6.05E-08
5.93237,4.42E-08
5.97983,2.17E-08
6.02729,2.07E-08
6.07475,2.44E-08
6.12221,1.86E-08
6.16967,4.57E-08
6.21712,7.27E-10
6.26458,5.39E-08
6.31204,3.55E-08
6.3595,1.33E-08
6.40696,3.58E-08
6.45442,3.95E-08
6.50188,7.65E-08
6.54934,1.14E-08
6.5968,7.30E-08
6.64426,1.64E-08
6.69171,3.13E-08
6.73917,2.31E-09
6.78663,6.65E-09
6.83409,4.79E-08
6.88155,2.48E-08
6.92901,4.74E-09
6.97647,4.16E-08
7.02393,2.12E-10
7.07139,1.77E-08
7.11885,2.40E-08
7.1663,7.51E-09
7.21376,2.83E-08
7.26122,2.48E-08
7.30868,1.88E-08
7.35614,7.45E-10
7.4036,1.27E-09
7.45106,6.04E-10
7.49852,1.66E-08
7.54598,2.81E-08
7.59343,1.45E-08
7.64089,9.58E-09
7.68835,1.02E-08
7.73581,1.38E-09
7.78327,2.24E-08
7.83073,2.47E-08
